Category,Level1,Level3,Level2,Level4,Year,Total
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1. Правоохранительная деятельность,201. Министерство внутренних дел Республики Казахстан,109. Проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,3488,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1. Правоохранительная деятельность,201. Министерство внутренних дел Республики Казахстан,116. Трансферты другим уровням государственного управления на проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,912,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1. Правоохранительная деятельность,618. Агентство Республики Казахстан по борьбе с экономической и коррупционной преступностью (финансовая полиция),1. Минимизация уровня коррупциогенности общественных отношений и криминализации экономики,2012,8841,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1. Правоохранительная деятельность,618. Агентство Республики Казахстан по борьбе с экономической и коррупционной преступностью (финансовая полиция),"2. Услуги по обеспечению защиты прав и свобод лиц, участвующих в уголовном процессе",2012,284,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1. Правоохранительная деятельность,618. Агентство Республики Казахстан по борьбе с экономической и коррупционной преступностью (финансовая полиция),5. Капитальные расходы Агентства Республики Казахстан по борьбе с экономической и коррупционной преступностью (финансовая полиция),2012,1277,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1. Правоохранительная деятельность,618. Агентство Республики Казахстан по борьбе с экономической и коррупционной преступностью (финансовая полиция),7. Оперативно-розыскная деятельность органов финансовой полиции,2012,3055,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1. Правоохранительная деятельность,618. Агентство Республики Казахстан по борьбе с экономической и коррупционной преступностью (финансовая полиция),18. Оказание юридической помощи адвокатами до следствия и на следствии,2012,11,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",2. Правовая деятельность,221. Министерство юстиции Республики Казахстан,5. Оказание юридической помощи адвокатами,2012,281,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",2. Правовая деятельность,221. Министерство юстиции Республики Казахстан,"6. Научная экспертиза проектов нормативных правовых актов, международных договоров, концепций законопроектов",2012,2227,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",2. Правовая деятельность,221. Министерство юстиции Республики Казахстан,7. Охрана прав интеллектуальной собственности,2012,6,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",2. Правовая деятельность,221. Министерство юстиции Республики Казахстан,9. Правовая пропаганда,2012,79,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",2. Правовая деятельность,221. Министерство юстиции Республики Казахстан,13. Обеспечение исполнения судебных актов,2012,3068,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",2. Правовая деятельность,221. Министерство юстиции Республики Казахстан,"16. Оценка, хранение и реализация конфискованного и арестованного имущества",2012,96,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",3. Судебная деятельность,501. Верховный Суд Республики Казахстан,"1. Обеспечение судебными органами судебной защиты прав, свобод и законных интересов граждан и организаций",2012,2253,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",3. Судебная деятельность,501. Верховный Суд Республики Казахстан,2. Создание единой автоматизированной информационно-аналитической системы органов судебной системы Республики Казахстан,2012,294,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",3. Судебная деятельность,501. Верховный Суд Республики Казахстан,"3. Обеспечение защиты прав и свобод лиц, участвующих в судебном процессе",2012,26,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",3. Судебная деятельность,501. Верховный Суд Республики Казахстан,4. Обеспечение жильем судей,2012,967,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",3. Судебная деятельность,501. Верховный Суд Республики Казахстан,7. Обеспечение отправления правосудия местными органами судебной власти,2012,23417,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",3. Судебная деятельность,501. Верховный Суд Республики Казахстан,9. Капитальные расходы органов судебной системы,2012,766,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",3. Судебная деятельность,501. Верховный Суд Республики Казахстан,12. Строительство объектов органов судебной системы,2012,2989,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",3. Судебная деятельность,501. Верховный Суд Республики Казахстан,13. Внедрение института медиации в Республике Казахстан,2012,31,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",3. Судебная деятельность,501. Верховный Суд Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,2,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",4. Деятельность по обеспечению законности и правопорядка,502. Генеральная прокуратура Республики Казахстан,1. Осуществление высшего надзора за точным и единообразным применением законов и подзаконных актов в Республике Казахстан,2012,17605,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",4. Деятельность по обеспечению законности и правопорядка,502. Генеральная прокуратура Республики Казахстан,2. Межгосударственное информационное взаимодействие по ведению криминального и оперативного учетов,2012,1,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",4. Деятельность по обеспечению законности и правопорядка,502. Генеральная прокуратура Республики Казахстан,3. Создание единой информационно- аналитической системы Комитета по правовой статистике и специальным учетам Генеральной прокуратуры Республики Казахстан,2012,153,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",4. Деятельность по обеспечению законности и правопорядка,502. Генеральная прокуратура Республики Казахстан,4. Капитальные расходы Генеральной прокуратуры Республики Казахстан,2012,928,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",4. Деятельность по обеспечению законности и правопорядка,502. Генеральная прокуратура Республики Казахстан,"9. Обеспечение защиты прав и свобод лиц, участвующих в уголовном процессе",2012,82,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",4. Деятельность по обеспечению законности и правопорядка,502. Генеральная прокуратура Республики Казахстан,11. Оказание юридической помощи адвокатами до следствия и на следствии,2012,5,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",4. Деятельность по обеспечению законности и правопорядка,502. Генеральная прокуратура Республики Казахстан,12. Целевые трансферты на развитие бюджету города Астаны на строительство административного здания Генеральной прокуратуры Республики Казахстан,2012,4061,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",4. Деятельность по обеспечению законности и правопорядка,502. Генеральная прокуратура Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,6,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",104. Канцелярия Премьер-Министра Республики Казахстан,2. Услуги по обеспечению технической защиты информации в государственных органах и учреждениях,2012,49,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",104. Канцелярия Премьер-Министра Республики Казахстан,3. Услуги по обеспечению фельдъегерской связью государственных учреждений,2012,699,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",104. Канцелярия Премьер-Министра Республики Казахстан,4. Капитальные расходы подведомственных учреждений,2012,37,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",104. Канцелярия Премьер-Министра Республики Казахстан,5. Услуги по подготовке и повышению квалификации специалистов государственных органов и учреждений в области информационной безопасности,2012,33,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",410. Комитет национальной безопасности Республики Казахстан,1. Обеспечение национальной безопасности,2012,143491,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",410. Комитет национальной безопасности Республики Казахстан,2. Программа развития системы национальной безопасности,2012,12591,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",410. Комитет национальной безопасности Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,14,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",410. Комитет национальной безопасности Республики Казахстан,105. Разработка и экспертиза технико-экономических обоснований республиканских бюджетных инвестиционных проектов,2012,3,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства","411. Служба внешней разведки Республики Казахстан ""Сырбар""",1. Обеспечение внешней разведки,2012,8261,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",680. Служба охраны Президента Республики Казахстан,1. Обеспечение безопасности Глав государств и отдельных должностных лиц,2012,8355,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность","5. Деятельность по обеспечению безопасности личности, общества и государства",680. Служба охраны Президента Республики Казахстан,2. Программа развития Службы охраны Президента Республики Казахстан,2012,104,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",6. Уголовно-исполнительная система,201. Министерство внутренних дел Республики Казахстан,"40. Содержание осужденных, подозреваемых и обвиняемых лиц",2012,29244,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",6. Уголовно-исполнительная система,201. Министерство внутренних дел Республики Казахстан,41. Капитальные расходы органов и учреждений уголовно-исполнительной системы,2012,5373,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,201. Министерство внутренних дел Республики Казахстан,8. Модернизация и развитие спутниковой сети передачи данных и телефонии,2012,331,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,201. Министерство внутренних дел Республики Казахстан,43. Целевые трансферты на развитие областному бюджету Восточно-Казахстанской области на строительство котельной в поселке Солнечный,2012,1801,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,201. Министерство внутренних дел Республики Казахстан,111. Проведение мероприятий в рамках реализации Государственной программы развития здравоохранения Республики Казахстан «Саламатты Ќазаќстан» на 2011-2015 годы,2012,1071,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,221. Министерство юстиции Республики Казахстан,1. Правовое обеспечение деятельности государства,2012,7878,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,221. Министерство юстиции Республики Казахстан,2. Проведение судебных экспертиз,2012,1952,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,221. Министерство юстиции Республики Казахстан,22. Капитальные расходы органов юстиции,2012,973,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,221. Министерство юстиции Республики Казахстан,"47. Представление и защита интересов государства, оценка перспектив судебных или арбитражных разбирательств и юридическая экспертиза проектов контрактов на недропользование и инвестиционных договоров",2012,6684,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,221. Министерство юстиции Республики Казахстан,55. Обеспечение деятельности Института законодательства Республики Казахстан,2012,313,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,221. Министерство юстиции Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,1,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,502. Генеральная прокуратура Республики Казахстан,"6. Услуги по обеспечению государственных органов, юридических лиц учетной, статистической информацией в сфере правовой статистики и специальных учетов",2012,3619,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,502. Генеральная прокуратура Республики Казахстан,"8. Строительство, реконструкция объектов для органов прокуратуры",2012,673,
2. ЗАТРАТЫ,"3. Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",9. Прочие услуги в области общественного порядка и безопасности,502. Генеральная прокуратура Республики Казахстан,10. Создание системы информационного обмена для правоохранительных и специальных органов Республики Казахстан,2012,1095,
2. ЗАТРАТЫ,4. Образование,1. Дошкольное воспитание и обучение,225. Министерство образования и науки Республики Казахстан,"11. Целевые текущие трансферты областным бюджетам, бюджетам городов Астаны и Алматы на реализацию государственного образовательного заказа в дошкольных организациях образования",2012,31900,
2. ЗАТРАТЫ,4. Образование,1. Дошкольное воспитание и обучение,225. Министерство образования и науки Республики Казахстан,"53. Целевые текущие трансферты областным бюджетам, бюджетам городов Астаны и Алматы на увеличение размера доплаты за квалификационную категорию учителям школ и воспитателям дошкольных организаций образования",2012,10817,
2. ЗАТРАТЫ,4. Образование,"2. Начальное, основное среднее и общее среднее образование",208. Министерство обороны Республики Казахстан,5. Общеобразовательное обучение в специализированных организациях образования,2012,355,
2. ЗАТРАТЫ,4. Образование,"2. Начальное, основное среднее и общее среднее образование",225. Министерство образования и науки Республики Казахстан,9. Обучение и воспитание одаренных детей,2012,21697,
2. ЗАТРАТЫ,4. Образование,"2. Начальное, основное среднее и общее среднее образование",225. Министерство образования и науки Республики Казахстан,"62. Целевые текущие трансферты областным бюджетам, бюджетам городов Астаны и Алматы на повышение оплаты труда учителям, прошедшим повышение квалификации по трехуровневой системе",2012,233,
2. ЗАТРАТЫ,4. Образование,"2. Начальное, основное среднее и общее среднее образование",225. Министерство образования и науки Республики Казахстан,79. Целевые текущие трансферты областному бюджету Алматинской области на содержание школы-интерната для детей с проблемами зрения в городе Есик Енбекшиказахского района,2012,46,
2. ЗАТРАТЫ,4. Образование,"2. Начальное, основное среднее и общее среднее образование",696. Агентство Республики Казахстан по делам спорта и физической культуры,2. Обучение и воспитание одаренных в спорте детей,2012,2059,
2. ЗАТРАТЫ,4. Образование,"4. Техническое и профессиональное, послесреднее образование",208. Министерство обороны Республики Казахстан,"17. Подготовка специалистов в организациях технического и профессионального, послесреднего образования",2012,602,
2. ЗАТРАТЫ,4. Образование,"4. Техническое и профессиональное, послесреднее образование",225. Министерство образования и науки Республики Казахстан,"2. Подготовка специалистов в организациях технического и профессионального, послесреднего образования и оказание социальной поддержки обучающимся",2012,2256,
2. ЗАТРАТЫ,4. Образование,"4. Техническое и профессиональное, послесреднее образование",225. Министерство образования и науки Республики Казахстан,33. Оценка уровня знания казахского языка граждан Республики Казахстан и проведение внешней оценки качества образования,2012,1319,
2. ЗАТРАТЫ,4. Образование,"4. Техническое и профессиональное, послесреднее образование",225. Министерство образования и науки Республики Казахстан,"45. Целевые текущие трансферты областным бюджетам, бюджетам городов Астаны и Алматы на обновление и переоборудование учебно-производственных мастерских, лабораторий учебных заведений технического и профессионального образования",2012,2425,
2. ЗАТРАТЫ,4. Образование,"4. Техническое и профессиональное, послесреднее образование",225. Министерство образования и науки Республики Казахстан,"54. Целевые текущие трансферты областным бюджетам, бюджетам городов Астаны и Алматы на установление доплаты за организацию производственного обучения мастерам производственного обучения организаций технического и профессионального образования",2012,1377,
2. ЗАТРАТЫ,4. Образование,"4. Техническое и профессиональное, послесреднее образование",225. Министерство образования и науки Республики Казахстан,57. Услуги по обеспечению деятельности АО «Холдинг «Кәсіпқор»,2012,597,
2. ЗАТРАТЫ,4. Образование,"4. Техническое и профессиональное, послесреднее образование",225. Министерство образования и науки Республики Казахстан,74. Модернизация технического и профессионального образования,2012,1736,
2. ЗАТРАТЫ,4. Образование,"4. Техническое и профессиональное, послесреднее образование",226. Министерство здравоохранения Республики Казахстан,"2. Подготовка специалистов в организациях технического и профессионального, послесреднего образования и оказание социальной поддержки обучающимся",2012,633,
2. ЗАТРАТЫ,4. Образование,"4. Техническое и профессиональное, послесреднее образование",696. Агентство Республики Казахстан по делам спорта и физической культуры,"3. Подготовка специалистов в организациях технического, профессионального, послесреднего образования и оказаниe социальной поддержки обучающимся",2012,344,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,104. Канцелярия Премьер-Министра Республики Казахстан,8. Услуги по обучению государственных служащих для повышения квалификации с привлечением зарубежных специалистов,2012,107,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,220. Министерство экономического развития и торговли Республики Казахстан,42. Повышение квалификации руководящих работников и менеджеров в сфере экономики,2012,164,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,225. Министерство образования и науки Республики Казахстан,23. Повышение квалификации и переподготовка кадров государственных организаций образования,2012,6889,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,225. Министерство образования и науки Республики Казахстан,"129. Целевые текущие трансферты областным бюджетам, бюджетам городов Астаны и Алматы на повышение квалификации, подготовку и переподготовку кадров в рамках реализации Дорожной карты занятости 2020",2012,15894,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,226. Министерство здравоохранения Республики Казахстан,14. Повышение квалификации и переподготовка кадров государственных организаций здравоохранения,2012,1544,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,233. Министерство индустрии и новых технологий Республики Казахстан,23. Повышение квалификации и переподготовка кадров в области технического регулирования и метрологии,2012,8,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,235. Министерство культуры и информации Республики Казахстан,13. Повышение квалификации и переподготовка кадров государственных организаций культуры,2012,24,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,608. Агентство Республики Казахстан по делам государственной службы,3. Услуги по повышению квалификации государственных служащих с привлечением иностранных преподавателей,2012,98,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,608. Агентство Республики Казахстан по делам государственной службы,"4. Подготовка, переподготовка и повышение квалификации государственных служащих",2012,1184,
2. ЗАТРАТЫ,4. Образование,5. Переподготовка и повышение квалификации специалистов,694. Управление делами Президента Республики Казахстан,11. Повышение квалификации и переподготовка кадров медицинских организаций,2012,66,
2. ЗАТРАТЫ,4. Образование,6. Высшее и послевузовское образование,202. Министерство по чрезвычайным ситуациям Республики Казахстан,6. Подготовка специалистов с высшим профессиональным образованием,2012,570,
2. ЗАТРАТЫ,4. Образование,6. Высшее и послевузовское образование,208. Министерство обороны Республики Казахстан,11. Подготовка специалистов с высшим и послевузовским профессиональным образованием,2012,8938,
2. ЗАТРАТЫ,4. Образование,6. Высшее и послевузовское образование,225. Министерство образования и науки Республики Казахстан,"20. Подготовка специалистов с высшим, послевузовским образованием и оказание социальной поддержки обучающимся",2012,78228,
2. ЗАТРАТЫ,4. Образование,6. Высшее и послевузовское образование,225. Министерство образования и науки Республики Казахстан,28. Подготовка специалистов в высших учебных заведениях за рубежом в рамках программы «Болашак»,2012,15435,
2. ЗАТРАТЫ,4. Образование,6. Высшее и послевузовское образование,226. Министерство здравоохранения Республики Казахстан,"3. Подготовка специалистов с высшим, послевузовским образованием и оказание социальной поддержки обучающимся",2012,22179,
